CoinMarketCap,Name,Symbol,CoinGecko,Name,Price 2015-01-04,Price2021-06-30,Return,Dead?,symbol,symbolconsis?,Rank - Return,Max Overall Return,Rank - Overall Max,Max Monthly Return,Rank - Monthly Max,adjusted e-value,pass 5% threshold?,pass 10% threshold?,p-value (Overall Max),p-value (Monthly Max),,,
,SuperCoin,SUPER,,SuperCoin,0.001569125794,0.001812118,1.154858334,0,super,1,101,114.1552686,84,69.09005395,77,0.2351626849,FALSE,FALSE,0.05172570637,0.09323423667,0.5786653688,FALSE,FALSE
,Mincoin,MNC,,Mincoin,0.004435912,0.005073945,1.143833557,0,mnc,1,102,104.8325575,85,30.43416393,97,0.2352238362,FALSE,FALSE,0.05566299492,0.1680151974,1.04279908,FALSE,FALSE
,TagCoin,TAG,,TagCoin,0.024527,0.027566309,1.123916867,0,tag,1,103,37.11705467,104,23.20874954,106,0.2333940268,FALSE,FALSE,0.1284916277,0.2016155707,1.251342347,FALSE,FALSE
,Deutsche eMark,DEM,,Deutsche eMark,0.00381542,0.003998654,1.048024595,0,dem,1,104,22.00101168,118,13.2461957,115,0.2197470925,FALSE,FALSE,0.1910543884,0.3256062024,2.020899617,FALSE,FALSE
,Opal,OPAL,,Opal,0.01014887935,0.010427544,1.027457677,0,opal,1,105,22.41764829,117,5.671867799,124,0.2175061614,FALSE,FALSE,0.1891061981,0.7052350551,4.377094916,FALSE,FALSE
,bitCNY,BITCNY,,bitCNY,0.160785,0.157587392,0.9801125229,0,bitcny,1,106,8.055788786,125,1.121149361,126,0.2094595311,FALSE,FALSE,0.4925650492,3.511136048,21.79213247,FALSE,FALSE
,Bullion,CBX,,Bullion,0.05035803864,0.040949475,0.8131665987,0,cbx,1,107,146.1774554,77,78.02706535,74,0.1754210203,FALSE,FALSE,0.04406670252,0.08590227856,0.5331590141,FALSE,FALSE
,Nxt,NXT,,Nxt,0.01587062087,0.012263225,0.772699764,0,nxt,1,108,117.3730558,83,47.25953906,89,0.1682491422,FALSE,FALSE,0.05091376018,0.1179239963,0.7319042365,FALSE,FALSE
,Emercoin,EMC,,Emercoin,0.0945601,0.064993252,0.6873221581,0,emc,1,109,99.25454817,88,55.87346037,84,0.1510445872,FALSE,FALSE,0.05678695577,0.1056809774,0.6559170105,FALSE,FALSE
,Clams,CLAM,,Clams,1.51794,1.024452491,0.6748965644,0,clam,1,110,12.60473019,124,7.410654156,122,0.1496746413,FALSE,FALSE,0.3173411837,0.5486119963,3.405002009,FALSE,FALSE
,HoboNickels,HBN,,HoboNickels,0.00954242952,0.005782792,0.6060083533,0,hbn,1,111,5.349842755,126,2.248892578,125,0.1356188049,FALSE,FALSE,0.7358175028,1.764423983,10.95103142,FALSE,FALSE
,Bitgem,BTG,,Bitgem,0.132396,0.073661184,0.5563701622,0,xbtg,0,112,3832.404302,20,105.3247301,68,0.1256319721,FALSE,FALSE,0.006471133535,0.06925360875,0.4298277809,FALSE,FALSE
,Counterparty,XCP,,Counterparty,3.455668316,1.89321814,0.5478587546,0,xcp,1,113,26.37039179,114,12.97419289,117,0.1248145953,FALSE,FALSE,0.1649909955,0.3267499008,2.027998068,FALSE,FALSE
,CannabisCoin,CANN,,CannabisCoin,0.002747801593,0.001447602,0.5268218796,0,cann,1,114,128.8763725,79,128.8763725,61,0.121084061,FALSE,FALSE,0.04871708361,0.06309261648,0.3915891146,FALSE,FALSE
,Megacoin,MEC,,Megacoin,0.01705300023,0.008656869,0.5076449237,0,mec,1,115,27.42100135,112,23.40386589,104,0.1176999319,FALSE,FALSE,0.1615029069,0.2037796145,1.26477365,FALSE,FALSE
,Startcoin,START,,Startcoin,0.01342254784,0.005872544,0.4375133596,0,start,1,116,33.7040956,108,16.06177277,112,0.1023216728,FALSE,FALSE,0.1362621518,0.2757212103,1.711284626,FALSE,FALSE
,NuBits,USNBT,,NuBits,1.002476089,0.434593339,0.433519905,0,usnbt,1,117,1.256887834,127,1.007505327,127,0.1022617518,FALSE,FALSE,3.107287465,3.876418026,24.0592828,FALSE,FALSE
,ZcCoin,ZCC,,ZcCoin,0.00742716,0.003091805,0.4162836131,0,zcc,1,118,23.41431853,116,23.30022256,105,0.09903521441,FALSE,FALSE,0.1826174041,0.2027366696,1.258300533,FALSE,FALSE
,Novacoin,NVC,,Novacoin,0.5758958751,0.163840515,0.2844967677,0,nvc,1,119,20.19087834,120,15.49655387,113,0.06825628096,FALSE,FALSE,0.2047129037,0.2832488156,1.75800528,FALSE,FALSE
,HyperStake,HYP,,HyperStake,0.0005274282242,0.000143764,0.2725754774,0,hyp,1,120,37.2830775,103,19.76402466,110,0.06594568001,FALSE,FALSE,0.1291613864,0.2281463915,1.416007901,FALSE,FALSE
